Collection phase contrast (reference-comparator),Accession,Type,Class,Mechanism,Mean abundance,Log2 Fold change,Wald's fdr adjusted p
Interface(Swine-Workday end),MEG_4167,Metals,Nickel_resistance,Nickel_ABC_efflux_pumps,8434.775737,0.717653779,0.049143284
Interface(Swine-Workday end),MEG_2121,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,10140.14952,0.711325022,0.049143284
Interface(Swine-Workday end),MEG_3076,Biocides,Acid_resistance,Acid_resistance_protein,10193.65744,0.682886979,0.049143284
Interface(Swine-Workday end),MEG_3007,Drugs,Fosfomycin,Fosfomycin_thiol_transferases,10315.92725,1.263580189,0.049143284
Interface(Swine-Workday end),MEG_2446,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,12215.40476,0.732709598,0.049143284
Interface(Swine-Workday end),MEG_5814,Metals,Arsenic_resistance,Arsenic_resistance_protein,13795.15109,0.728053393,0.014858587
Interface(Swine-Workday end),MEG_3747,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,16834.90717,0.716867399,0.040108278
Interface(Swine-Workday end),MEG_5787,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,36510.25805,0.733064651,0.014858587
Interface(Swine-Workday end),MEG_3752,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,38685.61596,0.763532088,0.049143284
Interface(Swine-Workday end),MEG_6652,Metals,Copper_resistance,Copper_resistance_protein,355308.8323,1.268422942,0.040108278
