Genes,Type,Class,Mechanism,Group
MEG_5937|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR,Drugs,MLS,23S rRNA methyltransferases,CFR
MEG_2830|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,Drugs,MLS,23S rRNA methyltransferases,ERMF
MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_2656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,DPR
MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal RND efflux pumps,ACRD
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULIII
MEG_1519|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_4293|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPMD
MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,Drugs,betalactams,Penicillin binding protein,PBP2
MEG_2988|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,CPXAR
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MARA
MEG_6967|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET31
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_1923|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_1888|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1739|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal RND efflux pumps,CMEB
MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,Metals,Arsenic resistance,Arsenic resistance protein,PSTS
MEG_5424|Metals|Copper_resistance|Copper_resistance_regulator|PCOR,Metals,Copper resistance,Copper resistance regulator,PCOR
MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4084|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRE
MEG_5976|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_2767|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_6803|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_466|Drugs|betalactams|Class_C_betalactamases|ACT,Drugs,betalactams,Class C betalactamases,ACT
MEG_7623|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATC,Drugs,MLS,Streptogramin A O-acetyltransferase,VATC
MEG_3789|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_2566|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,Drugs,Trimethoprim,Dihydrofolate reductase,DFRB
MEG_1284|Drugs|betalactams|Class_C_betalactamases|BLAEC,Drugs,betalactams,Class C betalactamases,BLAEC
MEG_3109|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
MEG_4060|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MREA,Metals,Multi-metal resistance,Multi-metal resistance protein,MREA
MEG_7394|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG,Drugs,Glycopeptides,VanG-type resistance protein,VANG
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,Drugs,MLS,Macrolide phosphotransferases,MPHN
MEG_6882|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_5797|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|PMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,PMRA
MEG_2524|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_1545|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_2050|Metals|Copper_resistance|Copper_resistance_protein|COPC,Metals,Copper resistance,Copper resistance protein,COPC
MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_3911|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXF
MEG_7500|Drugs|Glycopeptides|VanC-type_regulator|VANSC,Drugs,Glycopeptides,VanC-type regulator,VANSC
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_1429|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1215|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRC,Drugs,Bacitracin,Bacitracin ABC transporter,BCRC
MEG_6837|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3784|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_6579|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKE
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
MEG_5853|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACL
MEG_1783|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMX
MEG_4677|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1169|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSM,Metals,Arsenic resistance,Arsenic resistance protein,ARSM
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,Metals,Arsenic resistance,Arsenic resistance protein,PSTC
MEG_882|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1349|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1450|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_7683|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,MDTJ
MEG_859|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_360|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_3280|Drugs|betalactams|Class_A_betalactamases|HUGA,Drugs,betalactams,Class A betalactamases,HUGA
MEG_1008|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
MEG_863|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3013|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB
MEG_4745|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7629|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,Drugs,MLS,Streptogramin A O-acetyltransferase,VATE
MEG_2860|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,Drugs,MLS,23S rRNA methyltransferases,ERMX
MEG_6720|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_379|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,ABES
MEG_6952|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1593|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,Biocides,Acid resistance,Acid resistance regulator,EVGA
MEG_2810|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_2792|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,Drugs,betalactams,Penicillin binding protein regulator,BLAR
MEG_3597|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LMRD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LMRD
MEG_3801|Drugs|betalactams|Penicillin_binding_protein|MECD,Drugs,betalactams,Penicillin binding protein,MECD
MEG_5045|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1765|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_7834|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,YHCN
MEG_4747|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1943|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_217|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,Drugs,betalactams,Class C betalactamases,BLAEC
MEG_3671|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_1092|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
MEG_1281|Drugs|betalactams|Class_C_betalactamases|BLAEC,Drugs,betalactams,Class C betalactamases,BLAEC
MEG_6677|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6531|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMFY,Biocides,Multi-biocide resistance,Multi-biocide MFS efflux pump,SMFY
MEG_1424|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_1038|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_4168|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKB
MEG_5277|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_2078|Metals|Copper_resistance|Copper_resistance_regulator|COPS,Metals,Copper resistance,Copper resistance regulator,COPS
MEG_4828|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3644|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,Drugs,MLS,MLS resistance ABC efflux pumps,LSA
MEG_6042|Drugs|betalactams|Class_A_betalactamases|RAHN,Drugs,betalactams,Class A betalactamases,RAHN
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
