Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:14645,Plasmid,Plasmid transposition_recombination_integration,transposase subunit A,pNG2_p06,NA,NA,NA,NA,NA,NA
gene:plasmid:133174,IS,NA,IS100kyp,YP_pMT074,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
IncFIB(Mar)_1_pNDM-Mar_JN420336,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14717,Plasmid,Hypothetical plasmid protein,hypothetical protein,pXZ10145.1_p4,NA,NA,NA,NA,NA,NA
gene:vir:220,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:10576,Plasmid,Plasmid relaxase and mobilization machinery,mobE,pRAS31_03,NA,NA,NA,NA,NA,NA
gene:plasmid:82857,TE,NA,TnAs3,pLEW279a_p08,TnAs3,NA,NA,Aeromonas salmonicida,737,0
gene:plasmid:77776,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCollet_06,NA,NA,NA,NA,NA,NA
gene:plasmid:19317,Plasmid,Plasmid transposition_recombination_integration,tyrosine recombinase,pSMB74_p9,NA,NA,NA,NA,NA,NA
ICEberg|218|ICEAxyA8-1|GenBank|CP002287|1127770..1210913,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:25511,IS,NA,IS10L,CP0091,IS10L,IS4,IS10,Salmonella typhimurium,2333,0
gene:plasmid:152101,Plasmid,PREPIM,rep_pPI-2p01,pPI-2p01,NA,NA,NA,NA,NA,NA
gene:vir:6730,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:9571,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6589,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28971,Plasmid,Plasmid biosynthesis_regulatory_enzymes,MSL methylase,pGB3631_p7,NA,NA,NA,NA,NA,NA
gene:plasmid:115983,IS,NA,IS476,IS_1477_pXCV183_1,IS476,IS3,IS407,Xanthomonas campestris,2430,0
gene:plasmid:135617,Plasmid,Plasmid biosynthesis_regulatory_enzymes,putative ATPase,pRE25p48,NA,NA,NA,NA,NA,NA
gene:plasmid:134439,Plasmid,PTTREG,tRNA,TM1040_R0053,NA,NA,NA,NA,NA,NA
gene:proph:182000,IS,NA,transposase IS3/IS911,Nwi_0783,ISMex37,IS3,IS150,Methylobacterium extorquens,624,2.00E-179
rep5_6_rep(pRJ9)_AF447813.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:156176,Plasmid,Hypothetical plasmid protein,hypothetical protein,LV154,NA,NA,NA,NA,NA,NA
gene:vir:96948,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:183629,Prophage,NA,cell lysis protein,SFV_0278,NA,NA,NA,NA,NA,NA
gene:proph:163761,Prophage,NA,None,Patl_R0014,NA,NA,NA,NA,NA,NA
gene:plasmid:115905,TE,NA,TnAs3,Rms149_p04,TnAs3,NA,NA,Aeromonas salmonicida,993,0
gene:vir:6830,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103629,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28801,Plasmid,Hypothetical plasmid protein,hypothetical protein,SAVP002,NA,NA,NA,NA,NA,NA
gene:plasmid:146014,Plasmid,PREPIM,PrgN protein,pVEF1_002,NA,NA,NA,NA,NA,NA
gene:plasmid:28869,Plasmid,Plasmid non_conjugative efflux_transport,ABC transporter permease,SE_RS12110,NA,NA,NA,NA,NA,NA
gene:plasmid:151640,Plasmid,PTTREG,regulatory protein,pSES22_03,NA,NA,NA,NA,NA,NA
gene:vir:103414,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117488,Plasmid,Hypothetical plasmid protein,hypothetical protein,pO86A1_p139,NA,NA,NA,NA,NA,NA
gene:proph:181682,Prophage,NA,phage protein,M28_Spy1856,NA,NA,NA,NA,NA,NA
gene:plasmid:110295,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCPF5603_55,NA,NA,NA,NA,NA,NA
gene:plasmid:85100,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p04,NA,NA,NA,NA,NA,NA
gene:plasmid:91777,IS,NA,IS26,KPN_pKPN5p08253,IS26,IS6,None,Proteus vulgaris,1421,0
gene:vir:5706,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|309|ICESag2603VR-1|GenBank|AE009948|923465..941495,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:10476,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,anti-toxin-like protein,pTC-F14_p07,NA,NA,NA,NA,NA,NA
gene:proph:176822,Prophage,NA,hypothetical protein,APECO1_1018,NA,NA,NA,NA,NA,NA
gene:vir:79535,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6677,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103531,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:121468,IS,NA,ISEc21,LH0151,ISEc21,IS110,None,Escherichia coli,531,3.00E-151
gene:proph:173133,Prophage,NA,DUF2815 family protein,PPA_RS08080,NA,NA,NA,NA,NA,NA
gene:plasmid:145674,Plasmid,Unclassified plasmid gene,putative inner membrane protein,Pcryo_2490,NA,NA,NA,NA,NA,NA
gene:proph:181129,Prophage,NA,endopeptidase Rz of prophage CP-933K,UTI89_C5113,NA,NA,NA,NA,NA,NA
gene:plasmid:109959,Plasmid,Plasmid transposition_recombination_integration,"transposase, mutator type",Mkms_5730,NA,NA,NA,NA,NA,NA
gene:plasmid:129543,Plasmid,Plasmid non_conjugative efflux_transport,transporter,pnf1350,NA,NA,NA,NA,NA,NA
gene:plasmid:10579,Plasmid,PREPIM,repA,pRAS31_06,NA,NA,NA,NA,NA,NA
gene:vir:7121,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117352,IS,NA,IS2,pO86A1_p144,IS2,IS3,IS2,Escherichia coli,1518,0
gene:vir:107138,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:160870,Prophage,NA,DUF4355 domain-containing protein,SE_RS04695,NA,NA,NA,NA,NA,NA
gene:plasmid:91686,IS,NA,ISEcp1,SNSL254_pSN254_0088,ISEcp1,IS1380,None,Escherichia coli,2504,0
gene:proph:177486,Prophage,NA,tail component of prophage CP-933K,Z0975,NA,NA,NA,NA,NA,NA
gene:vir:6805,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:175601,Prophage,NA,phage single-strand DNA binding protein,MGAS10270_Spy1345,NA,NA,NA,NA,NA,NA
IncFIB(pHCM2)_1_pHCM2_AL513384,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:82856,TE,NA,TnAs3,pLEW279a_p07,TnAs3,NA,NA,Aeromonas salmonicida,777,0
gene:proph:184796,Prophage,NA,PBSX family phage terminase large subunit,LREU_RS04420,NA,NA,NA,NA,NA,NA
gene:plasmid:19472,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:28849,Plasmid ARG,Plasmid ARG,arsenical resistance operon repressor,SAP016,NA,NA,NA,NA,NA,NA
gene:plasmid:91634,TE,NA,TnAs3,SNSL254_pSN254_0153,TnAs3,NA,NA,Aeromonas salmonicida,167,1.00E-41
gene:plasmid:127986,TE,NA,TnAs3,Neut_2564,TnAs3,NA,NA,Aeromonas salmonicida,117,7.00E-27
gene:proph:173129,Prophage,NA,hypothetical protein,PPA_RS08100,NA,NA,NA,NA,NA,NA
gene:vir:3013,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:156104,IS,NA,ISEc36,LV030,ISEc36,IS3,IS2,Escherichia coli,339,1.00E-93
gene:proph:175671,Prophage,NA,phage protein,MGAS10270_Spy1886,NA,NA,NA,NA,NA,NA
gene:plasmid:90999,Plasmid,Plasmid biosynthesis_regulatory_enzymes,orotidine 5'-phosphate decarboxylase,SaurJH1_2812,NA,NA,NA,NA,NA,NA
gene:vir:4514,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:95268,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135626,Plasmid,Unclassified plasmid gene,putative PrgP protein,pRE25p60,NA,NA,NA,NA,NA,NA
gene:plasmid:17376,Plasmid,Hypothetical plasmid protein,hypothetical protein,pAH82_p16,NA,NA,NA,NA,NA,NA
gene:plasmid:158865,TE,NA,tnpAIS26 ,ERROR,None,NA,NA,None,0,0
gene:proph:159031,IS,NA,IS5 family transposase and trans-activator,b0552,IS5D,IS5,IS5,Escherichia coli,1945,0
gene:vir:99523,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:7063,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19642,IS,NA,IS1R,D742_p2109,IS1R,IS1,None,Escherichia coli,999,0
gene:plasmid:141519,Plasmid,Unclassified plasmid gene,None,pMD5057_008,NA,NA,NA,NA,NA,NA
gene:plasmid:87044,Plasmid ARG,Plasmid ARG,multidrug transporter,pK214_p13,NA,NA,NA,NA,NA,NA
gene:plasmid:19379,Plasmid,Unclassified plasmid gene,10.2 kd ORF,pColE1_04,NA,NA,NA,NA,NA,NA
gene:plasmid:139188,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,addiction module antitoxin,PSPPH_B0055,NA,NA,NA,NA,NA,NA
gene:plasmid:155943,Plasmid,Hypothetical plasmid protein,hypothetical protein,LV143,NA,NA,NA,NA,NA,NA
gene:plasmid:109146,Plasmid,Plasmid biosynthesis_regulatory_enzymes,phosphoglucosamine mutase,P91278ORF_017,NA,NA,NA,NA,NA,NA
gene:vir:96476,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:81920,Plasmid,Plasmid non_conjugative efflux_transport,monosaccharide-transporting ATPase,Smed_5242,NA,NA,NA,NA,NA,NA
gene:plasmid:24086,IS,NA,IS1R,HCM1.05c,IS1R,IS1,None,Escherichia coli,531,2.00E-151
gene:plasmid:16975,Plasmid ARG,Plasmid ARG,OXA-2 beta-lactamase precursor,R46_048,NA,NA,NA,NA,NA,NA
gene:plasmid:85523,IS,NA,IS1247,Xaut_4878,IS1247,IS1380,None,Xanthobacter autotrophicus,2680,0
gene:plasmid:152244,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,universal stress protein,SEA0023,NA,NA,NA,NA,NA,NA
gene:proph:181041,Prophage,NA,DNA-invertase,UTI89_C0920,NA,NA,NA,NA,NA,NA
gene:vir:2016,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135644,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRE25p42,NA,NA,NA,NA,NA,NA
gene:plasmid:158058,Plasmid,Hypothetical plasmid protein,hypothetical protein,RER_RS00375,NA,NA,NA,NA,NA,NA
gene:plasmid:153810,Plasmid ARG,Plasmid ARG,acetyltransferase,D763_p2003,NA,NA,NA,NA,NA,NA
gene:plasmid:125015,TE,NA,putative transposase,pnf2310,ISAnsp13,NA,NA,Anaeromyxobacter sp.,40.1,0.021
gene:proph:173935,Prophage,NA,bacteriophage protein,STY2040,NA,NA,NA,NA,NA,NA
gene:plasmid:151623,Plasmid,PTTREG,helix-turn-helix transcriptional regulator,BF_RS22035,NA,NA,NA,NA,NA,NA
ICEberg|65|CTnGERM1|GenBank|AJ557257|1..18842,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:7077,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154685,Plasmid,Plasmid biosynthesis_regulatory_enzymes,methylamine dehydrogenase accessory protein MauD,Pden_4732,NA,NA,NA,NA,NA,NA
gene:proph:184724,Prophage,NA,group II intron reverse transcriptase/maturase,LREU_RS07105,NA,NA,NA,NA,NA,NA
gene:plasmid:24561,Plasmid,Hypothetical plasmid protein,hypothetical protein,R27_p097,NA,NA,NA,NA,NA,NA
gene:proph:182955,Prophage,NA,phage baseplate assembly protein V,EcHS_A0936,NA,NA,NA,NA,NA,NA
gene:vir:101367,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:22779,IS,NA,ISRel24,RHE_PD00242,ISRel24,IS66,None,Rhizobium etli,545,1.00E-155
gene:proph:176819,Prophage,NA,phage-related minor tail protein,APECO1_1015,NA,NA,NA,NA,NA,NA
gene:plasmid:19756,Plasmid,Unclassified plasmid gene,None,Manual,NA,NA,NA,NA,NA,NA
gene:vir:95264,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139558,Plasmid,PTTREG,rRNA,RS_RS21700,NA,NA,NA,NA,NA,NA
gene:plasmid:16979,Plasmid,Hypothetical plasmid protein,hypothetical protein,R46_052,NA,NA,NA,NA,NA,NA
gene:vir:96136,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28851,Plasmid ARG,Plasmid ARG,arsenate reductase,SAP018,NA,NA,NA,NA,NA,NA
gene:proph:181292,Prophage,NA,prophage Sf6-like integrase,SSON_2406,NA,NA,NA,NA,NA,NA
gene:proph:181174,Prophage,NA,lambdoid prophage DLP12 Bor-like protein,UTI89_C1305,NA,NA,NA,NA,NA,NA
gene:plasmid:158551,Plasmid,Plasmid relaxase and mobilization machinery,mobC,ST715_p5,NA,NA,NA,NA,NA,NA
gene:proph:163594,Prophage,NA,hypothetical protein,SH2349,NA,NA,NA,NA,NA,NA
gene:plasmid:139641,IS,NA,IS15DI,O2R_104.2,IS15DI,IS6,None,Salmonella panama,1398,0
gene:plasmid:117802,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC129,NA,NA,NA,NA,NA,NA
gene:proph:167157,Prophage,NA,hypothetical protein,SERP1520,NA,NA,NA,NA,NA,NA
gene:plasmid:24439,Plasmid,Plasmid biosynthesis_regulatory_enzymes,putative dihydrofolate reductase,HCM2.0117c,NA,NA,NA,NA,NA,NA
gene:proph:163514,Prophage,NA,hypothetical protein,SH1786,NA,NA,NA,NA,NA,NA
gene:proph:169142,Prophage,NA,endolysin,SBO_1402,NA,NA,NA,NA,NA,NA
gene:plasmid:117724,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,outer membrane lipoprotein Blc,SC091,NA,NA,NA,NA,NA,NA
gene:proph:176411,Prophage,NA,hypothetical protein,NWMN_1026,NA,NA,NA,NA,NA,NA
gene:vir:219,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:169131,Prophage,NA,DNA-invertase,SBO_1391,NA,NA,NA,NA,NA,NA
gene:plasmid:150835,Plasmid,Plasmid biosynthesis_regulatory_enzymes,acetaldehyde dehydrogenase,Pnap_4143,NA,NA,NA,NA,NA,NA
gene:plasmid:16007,IS,NA,IS100kyp,p165897_078,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2032,0
gene:plasmid:119377,Plasmid,Hypothetical plasmid protein,hypothetical protein,pAG6_05,NA,NA,NA,NA,NA,NA
gene:plasmid:157053,Plasmid,Plasmid biosynthesis_regulatory_enzymes,metal dependent phosphohydrolase,Mkms_5997,NA,NA,NA,NA,NA,NA
gene:plasmid:120951,IS,NA,ISRsp9,Oant_4501,ISRsp9,IS6,None,Rhizhobium sp.,599,1.00E-171
gene:plasmid:137754,Plasmid,Hypothetical plasmid protein,hypothetical protein,Noca_4796,NA,NA,NA,NA,NA,NA
gene:vir:101335,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:159041,Prophage,NA,None,b1152,NA,NA,NA,NA,NA,NA
gene:proph:175646,Prophage,NA,DNA integration/recombination/inversion protein,MGAS10270_Spy1361,NA,NA,NA,NA,NA,NA
gene:proph:170202,Prophage,NA,cp4-like integrase protein,ELI_04005,NA,NA,NA,NA,NA,NA
gene:plasmid:117070,Plasmid,PTTREG,rRNA,Rsph17025_R0063,NA,NA,NA,NA,NA,NA
gene:vir:7196,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:83040,Plasmid,Plasmid biosynthesis_regulatory_enzymes,resA,pAb5S9_04,NA,NA,NA,NA,NA,NA
gene:proph:159063,Prophage,NA,cold shock-like protein CspF,b1558,NA,NA,NA,NA,NA,NA
gene:plasmid:91739,Plasmid,Plasmid transposition_recombination_integration,putative resolvase,KPN_pKPN5p08161,NA,NA,NA,NA,NA,NA
gene:vir:508,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:152268,Plasmid,Plasmid transposition_recombination_integration,"resolvase, putative",SEA0025,NA,NA,NA,NA,NA,NA
gene:plasmid:137765,Plasmid,Hypothetical plasmid protein,hypothetical protein,Noca_4795,NA,NA,NA,NA,NA,NA
gene:plasmid:122398,Plasmid,Hypothetical plasmid protein,hypothetical protein,pJB01p2,NA,NA,NA,NA,NA,NA
gene:plasmid:19506,Plasmid,Plasmid relaxase and mobilization machinery,TraA,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:115141,Plasmid,Plasmid non_conjugative efflux_transport,putative high-affinity branched-chain amino acid transport ATP-binding protein,Mpe_B0569,NA,NA,NA,NA,NA,NA
gene:plasmid:132173,Plasmid,Hypothetical plasmid protein,hypothetical protein,LACR_C46,NA,NA,NA,NA,NA,NA
gene:vir:103588,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:110246,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCPF5603_06,NA,NA,NA,NA,NA,NA
gene:plasmid:17368,Plasmid,Unclassified plasmid gene,Orf8,pAH82_p08,NA,NA,NA,NA,NA,NA
gene:plasmid:15400,Plasmid,Hypothetical plasmid protein,hypothetical protein,R751p48,NA,NA,NA,NA,NA,NA
gene:vir:6074,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:167301,Prophage,NA,ribosomal protein S12 methylthiotransferase,Aave_1645,NA,NA,NA,NA,NA,NA
gene:vir:96179,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176456,Prophage,NA,phage major head protein,NWMN_0294,NA,NA,NA,NA,NA,NA
gene:proph:182987,Prophage,NA,hypothetical protein,EcHS_A0932,NA,NA,NA,NA,NA,NA
gene:plasmid:119604,Plasmid,Plasmid transposition_recombination_integration,tnsE,pBS228_p071,NA,NA,NA,NA,NA,NA
gene:plasmid:87553,IS,NA,IS100kyp,YPE_4250,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:plasmid:136720,Plasmid,Plasmid relaxase and mobilization machinery,mobC,pMG8283_02,NA,NA,NA,NA,NA,NA
gene:proph:162078,Prophage,NA,hypothetical protein,MCA2679,NA,NA,NA,NA,NA,NA
gene:proph:177578,Prophage,NA,hypothetical protein,Z1919,NA,NA,NA,NA,NA,NA
gene:proph:179474,Prophage,NA,hypothetical protein,c3188,NA,NA,NA,NA,NA,NA
gene:plasmid:133384,Plasmid,Hypothetical plasmid protein,hypothetical protein,pBF9343.21c,NA,NA,NA,NA,NA,NA
gene:plasmid:133218,ICE,NA,hypothetical protein,Tn916_07,NA,NA,NA,NA,NA,NA
gene:plasmid:83730,TE,NA,TnAs3,YpIP275_pIP1202_0166,TnAs3,NA,NA,Aeromonas salmonicida,1687,0
gene:plasmid:83754,IS,NA,IS26,YpIP275_pIP1202_0059,IS26,IS6,None,Proteus vulgaris,1433,0
gene:proph:161195,Prophage,NA,hypothetical protein,Amet_4041,NA,NA,NA,NA,NA,NA
gene:plasmid:146150,Plasmid,PTTREG,rRNA,Dgeo_R0067,NA,NA,NA,NA,NA,NA
gene:plasmid:156873,IS,NA,IS1601,Mkms_5814,IS1601,IS256,None,Mycobacterium avium,1800,0
gene:plasmid:151227,IS,NA,IS679,pCoo076,IS679,IS66,None,Escherichia coli,192,8.00E-50
gene:vir:103657,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17011,Plasmid,PTTREG,RNA one modulator-like,pIP843_p5,NA,NA,NA,NA,NA,NA
gene:plasmid:81273,Plasmid,Hypothetical plasmid protein,hypothetical protein,ST189834_p5007,NA,NA,NA,NA,NA,NA
gene:plasmid:91759,IS,NA,IS26,KPN_pKPN5p08235,IS26,IS6,None,Proteus vulgaris,1421,0
gene:vir:108368,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:149993,Plasmid ARG,Plasmid ARG,winged helix-turn-helix transcriptional regulator,LP_RS15525,NA,NA,NA,NA,NA,NA
gene:proph:163478,Prophage,NA,hypothetical protein,SH2099,NA,NA,NA,NA,NA,NA
gene:vir:6668,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:90997,Plasmid ARG,Plasmid ARG,aminoglycoside phosphotransferase,SaurJH1_2806,NA,NA,NA,NA,NA,NA
gene:plasmid:19877,Plasmid,Unclassified plasmid gene,OrfE,pNS1_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:153787,TE,NA,tnpA,D763_p2021,ISAzs17,NA,NA,Azospirillum sp.,69.9,2.00E-11
gene:plasmid:24510,IS,NA,IS30D,R27_p046,IS30D,IS30,None,Escherichia coli,2284,0
gene:plasmid:28503,Plasmid,Plasmid non_conjugative efflux_transport,urea ABC transporter ATP-binding protein UrtD,SM_RS24430,NA,NA,NA,NA,NA,NA
gene:plasmid:19301,Plasmid ARG,Plasmid ARG,aminoglycoside resistance protein,pJR2_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:123236,IS,NA,IS1A,O2ColV154,IS1A,IS1,None,Escherichia coli,959,0
gene:vir:4732,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:152100,Plasmid ARG,Plasmid ARG,QacC,pPI-2p03,NA,NA,NA,NA,NA,NA
gene:proph:181647,Prophage,NA,phage protein,M28_Spy1802,NA,NA,NA,NA,NA,NA
gene:plasmid:14557,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPE_RS00190,NA,NA,NA,NA,NA,NA
gene:plasmid:132187,IS,NA,IS-LL6,LACR_C02,IS-LL6,IS3,IS3,Lactococcus lactis,1302,0
gene:plasmid:139598,Plasmid,PREPIM,repA1,O2R_8,NA,NA,NA,NA,NA,NA
gene:plasmid:131951,Plasmid,PTTREG,tRNA,Rsph17025_R0062,NA,NA,NA,NA,NA,NA
gene:plasmid:84441,TE,NA,TnAs3,D616_p81009,TnAs3,NA,NA,Aeromonas salmonicida,3402,0
gene:plasmid:124959,Plasmid,Unclassified plasmid gene,YhgE/Pip domain-containing protein,SSP_RS12285,NA,NA,NA,NA,NA,NA
gene:proph:176089,Prophage,NA,tail attachment protein minor capsid protein FII),ECP_1174,NA,NA,NA,NA,NA,NA
gene:vir:105727,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
